epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,786.149,0.35259,0.13678,0.00469,0.9973,0.99832,0.995,0.87816,0.48923,0.15561,0.00723,0.000891345,0.000891345,0.000891345
143,792.591,0.35421,0.14088,0.0045,0.99075,0.99717,0.99492,0.88892,0.39997,0.14884,0.00594,0.000885844,0.000885844,0.000885844
144,798.968,0.32207,0.13315,0.00456,0.99705,0.99279,0.995,0.90432,0.37959,0.13542,0.00566,0.000880343,0.000880343,0.000880343
145,803.895,0.32513,0.12366,0.00413,0.99464,0.99598,0.995,0.89192,0.40533,0.14255,0.00573,0.000874842,0.000874842,0.000874842
146,808.687,0.31646,0.12205,0.0039,0.9692,0.9909,0.99187,0.89432,0.3867,0.15771,0.00563,0.00086934,0.00086934,0.00086934
147,814.503,0.3046,0.11507,0.00395,0.93912,1,0.99187,0.90203,0.3817,0.16318,0.00544,0.000863839,0.000863839,0.000863839
148,819.711,0.31517,0.13058,0.00415,0.98075,0.99937,0.99485,0.89647,0.41345,0.16317,0.00588,0.000858338,0.000858338,0.000858338
149,826.407,0.30677,0.13008,0.00384,0.99806,0.96969,0.99361,0.89816,0.37579,0.16666,0.00528,0.000852837,0.000852837,0.000852837
150,833.424,0.33056,0.13355,0.00443,0.94469,0.9649,0.98663,0.89262,0.37532,0.18328,0.00522,0.000847336,0.000847336,0.000847336
151,838.503,0.28818,0.11089,0.00374,0.99523,0.98462,0.99477,0.90114,0.38135,0.1351,0.00558,0.000841835,0.000841835,0.000841835
152,844.431,0.29264,0.11638,0.00382,0.98362,0.9906,0.99462,0.89564,0.39412,0.14095,0.0058,0.000836334,0.000836334,0.000836334
153,850.95,0.30104,0.11482,0.00381,0.99326,0.93348,0.99172,0.8919,0.40639,0.16012,0.00575,0.000830833,0.000830833,0.000830833
154,858.18,0.2882,0.11043,0.0038,0.99813,0.98513,0.99492,0.90345,0.38566,0.12925,0.00579,0.000825332,0.000825332,0.000825332
155,866.643,0.27852,0.11534,0.00377,0.99801,0.99633,0.995,0.90722,0.40067,0.13658,0.00598,0.000819831,0.000819831,0.000819831
156,872.793,0.29112,0.1115,0.00377,0.99135,0.99836,0.99492,0.89768,0.39338,0.14809,0.00573,0.000814329,0.000814329,0.000814329
157,877.174,0.26785,0.10445,0.00357,0.99292,0.99029,0.99492,0.8884,0.43243,0.14272,0.00612,0.000808828,0.000808828,0.000808828
158,881.655,0.28395,0.12014,0.00365,0.98366,1,0.99485,0.89055,0.42015,0.14212,0.00609,0.000803327,0.000803327,0.000803327
159,886.459,0.30234,0.11598,0.00398,0.98535,0.98522,0.99478,0.88959,0.43885,0.15775,0.00627,0.000797826,0.000797826,0.000797826
160,892.409,0.32926,0.12783,0.00403,0.9483,0.99814,0.99172,0.89104,0.41636,0.16256,0.00574,0.000792325,0.000792325,0.000792325
161,899.815,0.28114,0.1124,0.00372,0.98749,0.99601,0.995,0.89947,0.3951,0.13783,0.00578,0.000786824,0.000786824,0.000786824
162,905.948,0.26154,0.11038,0.00334,0.993,0.99231,0.99492,0.90222,0.40607,0.13751,0.00582,0.000781323,0.000781323,0.000781323
163,911.812,0.25417,0.10546,0.00326,0.99772,0.99783,0.995,0.90998,0.38179,0.1282,0.00532,0.000775822,0.000775822,0.000775822
164,917.202,0.25788,0.10237,0.00347,0.99612,0.99122,0.99492,0.91197,0.38179,0.13454,0.00544,0.000770321,0.000770321,0.000770321
165,922.947,0.25226,0.11641,0.00337,0.99848,0.95485,0.99338,0.91188,0.37501,0.14687,0.00543,0.00076482,0.00076482,0.00076482
166,928.151,0.25808,0.09333,0.00344,0.98958,0.99611,0.99492,0.91146,0.35775,0.13219,0.00516,0.000759318,0.000759318,0.000759318
167,933.978,0.29151,0.11281,0.00389,0.99387,1,0.995,0.88788,0.37987,0.12573,0.00581,0.000753817,0.000753817,0.000753817
168,940.467,0.27628,0.10684,0.00366,0.99333,0.99231,0.99485,0.89739,0.37632,0.14265,0.00556,0.000748316,0.000748316,0.000748316
169,945.583,0.27937,0.11062,0.00361,0.99442,0.96652,0.99237,0.88922,0.39721,0.14137,0.00567,0.000742815,0.000742815,0.000742815
170,950.397,0.26043,0.09702,0.00327,0.98452,1,0.9947,0.90013,0.38539,0.15027,0.00565,0.000737314,0.000737314,0.000737314
171,955.498,0.26008,0.10604,0.00344,0.99818,1,0.995,0.89823,0.38211,0.13476,0.00563,0.000731813,0.000731813,0.000731813
172,960.521,0.24791,0.10948,0.0033,0.9602,0.99659,0.99361,0.90154,0.36393,0.14207,0.00533,0.000726312,0.000726312,0.000726312
173,965.225,0.25269,0.10571,0.00344,0.96701,0.99254,0.99361,0.8945,0.37791,0.14521,0.00546,0.000720811,0.000720811,0.000720811
174,970.219,0.27086,0.13594,0.00366,0.94533,1,0.99187,0.88827,0.3942,0.16414,0.00572,0.00071531,0.00071531,0.00071531
175,975.491,0.26048,0.11199,0.00348,0.9988,0.9372,0.99194,0.89066,0.39758,0.19182,0.00576,0.000709809,0.000709809,0.000709809
176,980.197,0.2541,0.11313,0.00327,0.99238,0.99041,0.99492,0.88994,0.42898,0.15828,0.00584,0.000704307,0.000704307,0.000704307
177,985.597,0.26132,0.1136,0.00332,0.99684,1,0.995,0.89249,0.38919,0.1373,0.00567,0.000698806,0.000698806,0.000698806
178,990.832,0.24617,0.11323,0.00312,0.99404,0.99032,0.99492,0.89986,0.38434,0.13696,0.0055,0.000693305,0.000693305,0.000693305
179,995.748,0.26682,0.10584,0.00339,0.96112,0.99757,0.99361,0.88637,0.42472,0.15439,0.00583,0.000687804,0.000687804,0.000687804
180,1000.31,0.29431,0.12238,0.00372,0.98436,0.99272,0.99447,0.88424,0.43279,0.16169,0.00593,0.000682303,0.000682303,0.000682303
181,1005.36,0.23865,0.12481,0.00303,0.99568,0.97182,0.9947,0.8918,0.39653,0.16273,0.00567,0.000676802,0.000676802,0.000676802
182,1010.67,0.28359,0.12152,0.00347,0.96558,0.98462,0.99331,0.88594,0.40621,0.16024,0.0059,0.000671301,0.000671301,0.000671301
